location,property_type,bedrooms,bathrooms,size_sqft,amenities,amenity_score,has_parking,has_pool,has_gym,has_security,has_garden,has_generator,has_borehole,has_staff_quarters,has_aircon,has_internet,price_kes,price_per_sqft,listing_date,month,month_name,is_land,source
Ngong,Bungalow,3,2,1700.7,Garden,1,0,0,0,0,1,0,0,0,0,0,40000.0,23.52,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",House,2,2,2583.34,Aircon,1,0,0,0,0,0,0,0,0,1,0,275000.0,106.45,2026-02-22,2,February,0,BuyRentKenya
Karen Hardy,House,3,3,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,380000.0,147.1,2026-02-22,2,February,0,BuyRentKenya
"Lake View, Westlands",House,4,3,2583.34,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,550000.0,212.9,2026-02-22,2,February,0,BuyRentKenya
"Thigiri, Westlands",Townhouse,4,5,1722.22,"Aircon, Staff quarters",2,0,0,0,0,0,0,0,1,1,0,299000.0,173.61,2026-02-22,2,February,0,BuyRentKenya
Muthaiga,House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,480000.0,185.81,2026-02-22,2,February,0,BuyRentKenya
"Banana, Muchatha and Banana",Townhouse,4,4,3552.09,None,0,0,0,0,0,0,0,0,0,0,0,140000.0,39.41,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",House,5,3,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,350000.0,135.48,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",Townhouse,4,4,1722.22,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,300000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
"Lake View, Westlands",House,5,3,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,570000.0,220.64,2026-02-22,2,February,0,BuyRentKenya
/ month,Townhouse,2,2,1722.22,Garden,1,0,0,0,0,1,0,0,0,0,0,150000.0,87.1,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,5,1722.22,Aircon,1,0,0,0,0,0,0,0,0,1,0,450000.0,261.29,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,250000.0,145.16,2026-02-22,2,February,0,BuyRentKenya
Lavington,Villa,5,5,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,250000.0,66.26,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,400000.0,232.26,2026-02-22,2,February,0,BuyRentKenya
"Riverside, Westlands",House,4,4,2583.34,"Aircon, Garden",2,0,0,0,0,1,0,0,0,1,0,300000.0,116.13,2026-02-22,2,February,0,BuyRentKenya
"Kyuna, Westlands",Townhouse,4,4,1722.22,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,250000.0,145.16,2026-02-22,2,February,0,BuyRentKenya
Kileleshwa,Townhouse,5,6,1722.22,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,300000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
Karen,Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,420000.0,243.87,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,260000.0,150.97,2026-02-22,2,February,0,BuyRentKenya
"Lower Kabete, Westlands",Villa,5,6,3772.75,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,600000.0,159.04,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,4,4,2583.34,Aircon,1,0,0,0,0,0,0,0,0,1,0,350000.0,135.48,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,350000.0,135.48,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,280000.0,162.58,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",House,4,4,2583.34,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,500000.0,193.55,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,7,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,750000.0,435.48,2026-02-22,2,February,0,BuyRentKenya
"Gigiri, Westlands",House,3,3,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,380000.0,147.1,2026-02-22,2,February,0,BuyRentKenya
Karen,House,2,2,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,90000.0,34.84,2026-02-22,2,February,0,BuyRentKenya
"Rosslyn, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,350000.0,203.23,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",Townhouse,3,3,1722.22,Aircon,1,0,0,0,0,0,0,0,0,1,0,300000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,322500.0,124.84,2026-02-22,2,February,0,BuyRentKenya
Karen,House,1,1,2583.34,Garden,1,0,0,0,0,1,0,0,0,0,0,45000.0,17.42,2026-02-22,2,February,0,BuyRentKenya
"Kyuna, Westlands",Townhouse,4,3,1722.22,"Aircon, Staff quarters",2,0,0,0,0,0,0,0,1,1,0,400000.0,232.26,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,578759.0,224.04,2026-02-22,2,February,0,BuyRentKenya
Karen,Villa,5,5,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,119.28,2026-02-22,2,February,0,BuyRentKenya
Kiambu Road,Townhouse,4,0,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,350000.0,203.23,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",Villa,4,4,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,399900.0,106.0,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Villa,4,4,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,451430.0,119.66,2026-02-22,2,February,0,BuyRentKenya
